"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"GO:0009611","GO:0009611","response to wounding",307,0.495782369167367,1.8483540841947,2.72103535976766e-07,0.000116682943563855,0.000106237552802412,1288,"tags=33%, list=16%, signal=29%","SLC4A1/SAA1/HBB/F3/GRIN2A/NTRK3/BLK/SERPINA1/ABCC8/FGF10/FOXC2/KRT6A/COMP/GAP43/SERPINE1/FGF1/FGG/FGA/IL1A/GIPR/EDN1/ACTA2/MYLK/MYL9/ITGA5/CAV1/FLNA/PRKG1/CSRP1/MMRN1/LYVE1/TPM1/CYP1A1/TIMP1/FGF2/AJUBA/FOXF1/FN1/MAP1B/AXL/COL5A1/SPRR3/WNT5A/DST/DGKH/PHLDB2/TNC/ARHGAP24/F8/THBD/DGKA/CDH3/FGB/DSP/TGFB1/ITGA2/LAMB2/EPPK1/ACVRL1/FAP/FERMT2/CD34/STXBP1/F2R/ALOX5/PLEC/FKBP10/ILK/TGFBR2/EPHA4/ANXA6/F2RL1/VCL/EVPL/DYSF/PRKCA/PDGFRB/CHMP7/TLN1/ITGB4/ELK3/GLI3/CXCR4/YAP1/TNFAIP3/GNA12/VAV2/MYH9/CD40/MMP2/THBS1/CD9/TGFBR1/KREMEN1/VAV1/DMTN/ENTPD1/MAPK8IP3/MCAM/PAPSS2/PIK3CA/ANXA1"
"GO:0030036","GO:0030036","actin cytoskeleton organization",422,0.465431339511096,1.77733631231227,4.01977215016649e-07,0.000158010543602794,0.000143865529584906,1570,"tags=32%, list=19%, signal=28%","TTN/ACTC1/CCL21/NEB/CNN1/GAS2L2/MYH11/FLNC/OBSCN/NTRK3/SYNPO2/CCR7/SORBS1/FGF10/PDLIM3/LMOD1/MYH3/DMD/IL1A/TPM2/EDN1/MYL9/CALD1/FLNA/PRKG1/SLIT2/CSRP1/SEMA3E/MYADM/ANTXR1/SYNPO/PALLD/ARHGEF17/TPM1/EPHA3/CELSR1/THSD7A/FHOD3/AMOTL2/ACTN1/FRMD6/ARHGEF10/MICAL2/PHLDB2/SHROOM2/SHANK3/HMCN1/PDLIM5/GSN/DIXDC1/CORO1A/ESPN/CDC42EP3/PTK2B/DAAM1/FERMT2/ARHGAP26/MYO1B/GMFG/PPFIA1/BAG4/OBSL1/DSTN/MYO1D/DAAM2/RUFY3/SVIL/FER/PLEC/AKAP13/JAM3/CFL2/F2RL1/FGD2/DBN1/PDLIM1/ELN/ELMO1/FHL3/SWAP70/ARHGAP25/VASP/MICAL3/PDGFRB/INF2/FMNL1/TLN1/ARHGAP28/CTTN/PLEKHG2/BCR/SIPA1L1/MYH9/FMNL3/CAPN3/MPRIP/MYO1E/STARD13/AMOTL1/ENAH/TGFBR1/AMOT/SCIN/MEF2A/SNX9/SHROOM4/DMTN/SEMA5A/TNXB/FLII/GAB1/FGD4/PIK3CA/ANXA1/EHD2/NEDD9/SPECC1/RHOBTB2/FHDC1/FCHSD2/CAPN10/TPM4/EHBP1/HCLS1/BAIAP2/ALMS1/DOCK2/RAP1GDS1/PHACTR2/IQSEC1/PAFAH1B1/TTC17/PRKCE/ARHGEF15/SH3KBP1/DPYSL3"
"GO:0060402","GO:0060402","calcium ion transport into cytosol",87,0.674601407497953,2.17387752025333,4.70802448089324e-07,0.000170828857510565,0.000155536355320198,797,"tags=37%, list=10%, signal=34%","CACNA1S/CACNA1A/CCL21/ATP1A2/MS4A1/JPH2/CASQ2/GRIN2A/CCR7/CD19/DMD/CACNA1F/CACNA1B/AKAP6/RYR3/CAV1/ATP2B4/FGF2/TPCN2/TRPC1/ATG5/RASA3/CCL19/CACNA1C/PRKD1/CORO1A/PTK2B/ANK2/F2R/FYN/RYR2/PRNP"
"GO:0030198","GO:0030198","extracellular matrix organization",165,0.562327322352294,1.95168543296715,7.57720600190944e-07,0.000206955334534234,0.000188428810662369,1311,"tags=47%, list=16%, signal=40%","MYH11/CTSV/COL11A1/MMP11/COL19A1/MMP3/COL10A1/MMP7/FOXC2/ADAMTSL4/COMP/LOXL4/AEBP1/SULF1/COL28A1/ZNF469/COL4A3/CAV1/ITGA8/CREB3L1/NPNT/COL8A1/THSD4/BMP1/ANTXR1/FOXF1/COL4A2/COL5A1/COL4A1/COL15A1/COL12A1/DDR2/ADAMTS2/PHLDB2/PHLDB1/ADAMTS17/HMCN1/PXDN/TGFB1/LOXL2/FOXC1/LAMB2/COL4A5/COL16A1/POSTN/FAP/SFRP2/FMOD/COL18A1/LAMC1/FBLN5/COL1A2/ABI3BP/FKBP10/BMP2/ADAMTS1/ELN/COL17A1/LAMB3/COL4A4/COL4A6/COL5A2/MMP14/EMILIN1/HPN/CRTAP/SPINK5/NID1/MMP2/MYO1E/TGFBR1/LAMB1/PRDM5/TNXB/RB1/RUNX1/EFEMP2"
"GO:0043062","GO:0043062","extracellular structure organization",165,0.562327322352294,1.95168543296715,7.57720600190944e-07,0.000206955334534234,0.000188428810662369,1311,"tags=47%, list=16%, signal=40%","MYH11/CTSV/COL11A1/MMP11/COL19A1/MMP3/COL10A1/MMP7/FOXC2/ADAMTSL4/COMP/LOXL4/AEBP1/SULF1/COL28A1/ZNF469/COL4A3/CAV1/ITGA8/CREB3L1/NPNT/COL8A1/THSD4/BMP1/ANTXR1/FOXF1/COL4A2/COL5A1/COL4A1/COL15A1/COL12A1/DDR2/ADAMTS2/PHLDB2/PHLDB1/ADAMTS17/HMCN1/PXDN/TGFB1/LOXL2/FOXC1/LAMB2/COL4A5/COL16A1/POSTN/FAP/SFRP2/FMOD/COL18A1/LAMC1/FBLN5/COL1A2/ABI3BP/FKBP10/BMP2/ADAMTS1/ELN/COL17A1/LAMB3/COL4A4/COL4A6/COL5A2/MMP14/EMILIN1/HPN/CRTAP/SPINK5/NID1/MMP2/MYO1E/TGFBR1/LAMB1/PRDM5/TNXB/RB1/RUNX1/EFEMP2"
"GO:0045229","GO:0045229","external encapsulating structure organization",165,0.562327322352294,1.95168543296715,7.57720600190944e-07,0.000206955334534234,0.000188428810662369,1311,"tags=47%, list=16%, signal=40%","MYH11/CTSV/COL11A1/MMP11/COL19A1/MMP3/COL10A1/MMP7/FOXC2/ADAMTSL4/COMP/LOXL4/AEBP1/SULF1/COL28A1/ZNF469/COL4A3/CAV1/ITGA8/CREB3L1/NPNT/COL8A1/THSD4/BMP1/ANTXR1/FOXF1/COL4A2/COL5A1/COL4A1/COL15A1/COL12A1/DDR2/ADAMTS2/PHLDB2/PHLDB1/ADAMTS17/HMCN1/PXDN/TGFB1/LOXL2/FOXC1/LAMB2/COL4A5/COL16A1/POSTN/FAP/SFRP2/FMOD/COL18A1/LAMC1/FBLN5/COL1A2/ABI3BP/FKBP10/BMP2/ADAMTS1/ELN/COL17A1/LAMB3/COL4A4/COL4A6/COL5A2/MMP14/EMILIN1/HPN/CRTAP/SPINK5/NID1/MMP2/MYO1E/TGFBR1/LAMB1/PRDM5/TNXB/RB1/RUNX1/EFEMP2"
"GO:0098662","GO:0098662","inorganic cation transmembrane transport",357,0.470004908707885,1.77408679163737,7.26136301916001e-07,0.000206955334534234,0.000188428810662369,823,"tags=23%, list=10%, signal=21%","CACNA1S/CACNA1A/CACNA2D2/ATP12A/FGF14/SLC34A2/CCL21/SLC12A1/ATP1A2/SLC12A3/JPH2/CASQ2/GRIN2A/SLC6A14/CCR7/DPP10/ABCC8/CACNA2D3/CD19/FHL1/KCNMB1/SLC4A10/DMD/CACNA1F/CACNA1B/AKAP6/KCND3/SLC4A11/RYR3/CACNB2/KCNQ5/EDN1/ATP6V1C2/CAV1/FLNA/CACNA1H/FXYD6/ATP2B4/TCN1/ABCC5/FGF13/KCNC4/KCNJ15/FGF2/SLC15A2/TPCN2/TRPC1/ATG5/RASA3/CCL19/CACNA1C/SHROOM2/SLC6A2/SCN7A/ATP1B2/KCNMA1/GPD1L/KCNE4/PRKD1/SLC39A14/CORO1A/SLC6A11/PTK2B/KCNN3/KCNJ2/ATP7B/CLCN5/ANK2/ATP2A3/SLC39A13/F2R/FYN/RYR2/WNK2/CNNM2/KCNS3/PRNP/ATP2A1/SLC6A1/ANXA6/ITGAV"
"GO:0098660","GO:0098660","inorganic ion transmembrane transport",385,0.457501504290903,1.73341634277273,7.89738397629045e-07,0.000206955334534234,0.000188428810662369,823,"tags=23%, list=10%, signal=21%","CACNA1S/CACNA1A/SLC4A1/CACNA2D2/ATP12A/FGF14/SLC34A2/CCL21/SLC12A1/ATP1A2/SLC12A3/JPH2/CASQ2/GRIN2A/SLC26A9/SLC6A14/CCR7/DPP10/ABCC8/CACNA2D3/GABRP/CD19/FHL1/KCNMB1/SLC4A10/DMD/CACNA1F/CACNA1B/ANO1/ANO5/AKAP6/KCND3/SLC4A11/RYR3/CACNB2/KCNQ5/EDN1/ATP6V1C2/CAV1/FLNA/CACNA1H/FXYD6/ATP2B4/TCN1/ABCC5/FGF13/KCNC4/KCNJ15/FGF2/LRRC8A/SLC15A2/TPCN2/TRPC1/ATG5/RASA3/CCL19/CACNA1C/SHROOM2/SLC6A2/SCN7A/ATP1B2/KCNMA1/GPD1L/KCNE4/PRKD1/SLC39A14/CORO1A/SLC6A11/PTK2B/KCNN3/KCNJ2/ATP7B/CLCN5/ANK2/ATP2A3/SLC39A13/F2R/FYN/RYR2/WNK2/CNNM2/KCNS3/PRNP/ATP2A1/SLC6A1/ANXA6/ITGAV"
"GO:0097553","GO:0097553","calcium ion transmembrane import into cytosol",80,0.672416559726921,2.13994798087802,9.05969941936816e-07,0.000224918958742945,0.000204784341446106,797,"tags=38%, list=10%, signal=34%","CACNA1S/CACNA1A/CCL21/ATP1A2/JPH2/CASQ2/GRIN2A/CCR7/CD19/DMD/CACNA1F/CACNA1B/AKAP6/RYR3/ATP2B4/FGF2/TPCN2/TRPC1/ATG5/RASA3/CCL19/CACNA1C/PRKD1/CORO1A/PTK2B/ANK2/F2R/FYN/RYR2/PRNP"
"GO:0010927","GO:0010927","cellular component assembly involved in morphogenesis",59,0.719786977414087,2.18552574929217,1.06363564961204e-06,0.000250858467960999,0.000228401760548269,1235,"tags=53%, list=15%, signal=45%","TTN/ACTC1/NEB/MYH11/FLNC/OBSCN/CNTN1/LMOD1/MYH3/CCDC136/EDN1/MYL9/CSRP1/TPM1/FHOD3/PHLDB2/PHLDB1/ANK2/OBSL1/CNTNAP1/PLEC/AKAP13/CFL2/TENM4/PDGFRB/ITGB4/GPC1/CAPN3/CD9/MEF2A/FLII"
"GO:0034330","GO:0034330","cell junction organization",363,0.468948069288755,1.76858862522415,1.18838720149745e-06,0.000266934401403023,0.000243038585569404,1271,"tags=31%, list=15%, signal=27%","DSG1/IGFN1/GJA5/CDH19/CAMK2B/NTRK3/ABCC8/SORBS1/CDH6/ACHE/GAP43/NTRK2/PKP1/PCDHB11/CACNB2/NFASC/LRRN1/PKP2/ITGA5/CAV1/FLNA/CDH2/SEMA3E/SYNPO/FGF13/EPHA3/ITGA6/AJUBA/FN1/MAP1B/COL4A1/IL1B/ACTN1/WNT5A/DST/PHLDB2/NRP2/THBS2/SHANK3/PCDHB16/PDLIM5/CAPRIN2/GJA1/HEG1/DSP/TGFB1/TANC1/ITGA2/ITGA3/LAMB2/COL4A5/ACVRL1/PTK2B/COL16A1/MAP4K4/FERMT2/PPFIBP1/SPARCL1/SRPX2/PCDHB10/LAMC1/ANK2/PPFIA1/OBSL1/F2R/FYN/CRKL/CNTNAP1/KIFC3/TLN2/IL1RAP/PLEC/ARVCF/PRNP/EPHA4/SLC6A1/JAM3/INSR/KIF1A/F2RL1/DBN1/VCL/NFIA/COL17A1/CHRNB1/SVEP1/MEF2C/SHANK2/ROBO2/LRRK2/PRKCA/ARHGAP22/TLN1/ITGB4/MMP14/CTTN/BCR/DCHS1/SIPA1L1/UNC13B/FCGR2B/THBS1/CD9/TGFBR1/CDH5/DMTN/GRHL2/FNTA/NLGN2/FLCN/MAPRE2"
"GO:0060415","GO:0060415","muscle tissue morphogenesis",33,0.802509518346015,2.18615426893114,1.53730166535054e-06,0.000301218784554048,0.000274253850234988,825,"tags=58%, list=10%, signal=52%","TTN/ACTC1/LRP2/COL11A1/FOXC2/MYLK/PKP2/ADARB1/TPM1/ZFPM2/WNT5A/HEG1/DSP/TGFB1/DLL4/FOXC1/RYR2/LY6E/BMP2"
"GO:0051480","GO:0051480","regulation of cytosolic calcium ion concentration",147,0.575241002841241,1.96644903323296,1.57675410661668e-06,0.000301218784554048,0.000274253850234988,831,"tags=29%, list=10%, signal=26%","CACNA1S/CACNA1A/SAA1/CALB2/CCL21/ATP1A2/MS4A1/JPH2/CASQ2/GRIN2A/CD24/CCR7/CD19/DMD/CACNA1F/CACNA1B/AKAP6/RYR3/CACNB2/GIPR/EDN1/CAV1/ATP2B4/FGF2/TPCN2/TRPC1/ATG5/RASA3/WNT5A/CCL19/CACNA1C/PRKD1/CORO1A/PTK2B/ANK2/F2R/FYN/RYR2/PRNP/CDH23/ITGAV/F2RL1"
"GO:0006874","GO:0006874","cellular calcium ion homeostasis",202,0.524802118698081,1.86003479305289,1.59645317232376e-06,0.000301218784554048,0.000274253850234988,831,"tags=25%, list=10%, signal=23%","CACNA1S/CACNA1A/SAA1/CALB2/CCL21/ATP1A2/MS4A1/JPH2/CASQ2/GRIN2A/CD24/CCR7/CD19/DMD/CACNA1F/ATP13A4/CACNA1B/AKAP6/PRKCB/RYR3/CACNB2/GIPR/EDN1/CAV1/ATP2B4/FGF2/TPCN2/TRPC1/ATG5/TGM2/RASA3/WNT5A/CCL19/CACNA1C/PRKD1/CCL14/CORO1A/PTK2B/ATP7B/ANK2/ATP2A3/F2R/FYN/RYR2/PRNP/ATP2A1/CDH23/ANXA6/ITGAV/F2RL1"
"GO:0042060","GO:0042060","wound healing",245,0.510556122613556,1.85585963197436,1.4771056579432e-06,0.000301218784554048,0.000274253850234988,1288,"tags=36%, list=16%, signal=31%","SLC4A1/SAA1/HBB/F3/BLK/SERPINA1/ABCC8/FGF10/FOXC2/KRT6A/COMP/SERPINE1/FGF1/FGG/FGA/IL1A/EDN1/ACTA2/MYLK/MYL9/ITGA5/CAV1/FLNA/PRKG1/CSRP1/MMRN1/TPM1/TIMP1/FGF2/AJUBA/FN1/AXL/COL5A1/SPRR3/WNT5A/DST/DGKH/PHLDB2/ARHGAP24/F8/THBD/DGKA/CDH3/FGB/DSP/TGFB1/ITGA2/EPPK1/ACVRL1/FAP/FERMT2/CD34/STXBP1/F2R/ALOX5/PLEC/FKBP10/ILK/TGFBR2/ANXA6/F2RL1/VCL/EVPL/DYSF/PRKCA/PDGFRB/CHMP7/TLN1/ELK3/GLI3/CXCR4/YAP1/TNFAIP3/GNA12/VAV2/MYH9/CD40/THBS1/CD9/TGFBR1/VAV1/DMTN/ENTPD1/MCAM/PAPSS2/PIK3CA/ANXA1"
